timestamp,asset_id,asset_type,sf6_pressure_bar,busbar_temp_c,busbar_delta_t,voltage_stability_pu,overall_status
2024-01-01 00:00:00,SUB-01,Substation,5.914,31.17,6.17,0.9937,Normal
2024-01-01 00:05:00,SUB-02,Substation,5.942,31.75,6.75,1.0009,Normal
2024-01-01 00:10:00,SUB-03,Substation,5.906,32.43,7.43,1.0042,Normal
2024-01-01 00:15:00,SUB-01,Substation,5.983,31.5,6.5,0.9978,Normal
2024-01-01 00:20:00,SUB-02,Substation,6.085,32.03,7.03,0.9984,Normal
2024-01-01 00:25:00,SUB-03,Substation,6.092,31.89,6.89,0.9897,Normal
2024-01-01 00:30:00,SUB-01,Substation,6.025,31.52,6.52,0.9976,Normal
2024-01-01 00:35:00,SUB-02,Substation,6.011,30.7,5.7,1.0038,Warning
2024-01-01 00:40:00,SUB-03,Substation,5.926,31.42,6.42,1.0041,Normal
2024-01-01 00:45:00,SUB-01,Substation,6.015,32.25,7.25,0.9967,Normal
2024-01-01 00:50:00,SUB-02,Substation,6.016,32.42,7.42,1.0045,Normal
2024-01-01 00:55:00,SUB-03,Substation,5.99,31.87,6.87,0.9975,Normal
2024-01-01 01:00:00,SUB-01,Substation,6.051,32.46,7.46,1.0014,Normal
2024-01-01 01:05:00,SUB-02,Substation,5.994,32.44,7.44,0.9857,Normal
2024-01-01 01:10:00,SUB-03,Substation,5.964,32.04,7.04,0.9905,Normal
2024-01-01 01:15:00,SUB-01,Substation,6.018,31.99,6.99,1.0043,Normal
2024-01-01 01:20:00,SUB-02,Substation,6.032,32.73,7.73,0.9944,Normal
2024-01-01 01:25:00,SUB-03,Substation,6.014,31.78,6.78,0.9994,Normal
2024-01-01 01:30:00,SUB-01,Substation,6.013,31.59,6.59,1.0059,Normal
2024-01-01 01:35:00,SUB-02,Substation,5.927,31.97,6.97,1.0007,Normal
2024-01-01 01:40:00,SUB-03,Substation,5.922,32.26,7.26,0.9996,Warning
2024-01-01 01:45:00,SUB-01,Substation,5.865,31.66,6.66,0.9996,Normal
2024-01-01 01:50:00,SUB-02,Substation,5.915,31.64,6.64,1.0006,Normal
2024-01-01 01:55:00,SUB-03,Substation,5.873,32.42,7.42,0.993,Normal
2024-01-01 02:00:00,SUB-01,Substation,5.794,31.36,6.36,1.0003,Normal
2024-01-01 02:05:00,SUB-02,Substation,5.785,31.68,6.68,1.0002,Normal
2024-01-01 02:10:00,SUB-03,Substation,5.723,32.13,7.13,0.9871,Normal
2024-01-01 02:15:00,SUB-01,Substation,5.781,32.29,7.29,0.993,Normal
2024-01-01 02:20:00,SUB-02,Substation,5.846,31.99,6.99,0.996,Normal
2024-01-01 02:25:00,SUB-03,Substation,5.743,31.77,6.77,1.0102,Normal
2024-01-01 02:30:00,SUB-01,Substation,5.729,32.13,7.13,1.0054,Normal
2024-01-01 02:35:00,SUB-02,Substation,5.771,32.06,7.06,1.0037,Normal
2024-01-01 02:40:00,SUB-03,Substation,5.693,32.18,7.18,1.0015,Normal
2024-01-01 02:45:00,SUB-01,Substation,5.734,32.47,7.47,1.0009,Normal
2024-01-01 02:50:00,SUB-02,Substation,5.703,32.96,7.96,1.0058,Normal
2024-01-01 02:55:00,SUB-03,Substation,5.753,31.52,6.52,0.9989,Normal
