timestamp,asset_id,asset_type,oil_temp_c,load_pct,vibration_um,overall_status
2024-01-01 00:00:00,TRF-01,Transformer,65.28,56.34,1.98,Normal
2024-01-01 00:05:00,TRF-02,Transformer,72.31,74.75,2.117,Normal
2024-01-01 00:10:00,TRF-03,Transformer,73.98,70.6,2.066,Normal
2024-01-01 00:15:00,TRF-04,Transformer,76.82,78.81,2.105,Normal
2024-01-01 00:20:00,TRF-05,Transformer,75.16,83.66,2.219,Normal
2024-01-01 00:25:00,TRF-01,Transformer,75.59,76.02,2.229,Normal
2024-01-01 00:30:00,TRF-02,Transformer,62.49,51.62,1.963,Normal
2024-01-01 00:35:00,TRF-03,Transformer,63.53,45.38,2.003,Normal
2024-01-01 00:40:00,TRF-04,Transformer,62.34,50.16,2.037,Normal
2024-01-01 00:45:00,TRF-05,Transformer,56.82,33.84,2.144,Normal
2024-01-01 00:50:00,TRF-01,Transformer,59.79,33.06,2.048,Normal
2024-01-01 00:55:00,TRF-02,Transformer,53.59,17.96,2.005,Normal
2024-01-01 01:00:00,TRF-03,Transformer,54.57,22.49,2.118,Normal
2024-01-01 01:05:00,TRF-04,Transformer,56.68,29.84,1.98,Normal
2024-01-01 01:10:00,TRF-05,Transformer,53.48,28.59,1.993,Normal
2024-01-01 01:15:00,TRF-01,Transformer,66.54,53.16,2.099,Normal
2024-01-01 01:20:00,TRF-02,Transformer,61.29,40.85,1.957,Normal
2024-01-01 01:25:00,TRF-03,Transformer,52.74,27.57,1.96,Normal
2024-01-01 01:30:00,TRF-04,Transformer,47.1,6.49,1.975,Normal
2024-01-01 01:35:00,TRF-05,Transformer,50.7,12.97,2.159,Normal
2024-01-01 01:40:00,TRF-01,Transformer,52.24,18.62,1.983,Normal
2024-01-01 01:45:00,TRF-02,Transformer,51.56,18.15,2.01,Normal
2024-01-01 01:50:00,TRF-03,Transformer,48.79,12.7,2.01,Normal
2024-01-01 01:55:00,TRF-04,Transformer,56.65,29.0,2.017,Normal
2024-01-01 02:00:00,TRF-05,Transformer,49.42,10.16,2.035,Normal
2024-01-01 02:05:00,TRF-01,Transformer,46.41,9.36,2.051,Normal
2024-01-01 02:10:00,TRF-02,Transformer,51.94,20.58,1.912,Normal
2024-01-01 02:15:00,TRF-03,Transformer,56.6,34.75,2.035,Normal
2024-01-01 02:20:00,TRF-04,Transformer,57.18,32.89,1.865,Normal
2024-01-01 02:25:00,TRF-05,Transformer,63.46,46.6,1.885,Normal
2024-01-01 02:30:00,TRF-01,Transformer,62.42,45.28,2.019,Normal
2024-01-01 02:35:00,TRF-02,Transformer,58.4,31.93,2.143,Normal
2024-01-01 02:40:00,TRF-03,Transformer,61.92,50.28,1.996,Normal
2024-01-01 02:45:00,TRF-04,Transformer,68.44,62.94,2.086,Normal
2024-01-01 02:50:00,TRF-05,Transformer,66.18,54.79,1.989,Normal
2024-01-01 02:55:00,TRF-01,Transformer,72.13,73.5,2.011,Normal
2024-01-01 03:00:00,TRF-02,Transformer,81.56,91.03,2.284,Warning
2024-01-01 03:05:00,TRF-03,Transformer,84.22,98.24,2.254,Warning
2024-01-01 03:10:00,TRF-04,Transformer,78.43,91.42,2.102,Warning
2024-01-01 03:15:00,TRF-05,Transformer,70.28,64.89,1.991,Normal
2024-01-01 03:20:00,TRF-01,Transformer,74.36,68.61,2.025,Normal
2024-01-01 03:25:00,TRF-02,Transformer,68.85,61.54,2.185,Normal
2024-01-01 03:30:00,TRF-03,Transformer,66.97,55.22,2.043,Normal
2024-01-01 03:35:00,TRF-04,Transformer,65.93,59.38,1.902,Normal
2024-01-01 03:40:00,TRF-05,Transformer,71.21,65.42,2.217,Normal
2024-01-01 03:45:00,TRF-01,Transformer,73.24,76.45,2.024,Normal
2024-01-01 03:50:00,TRF-02,Transformer,67.57,71.03,1.958,Normal
2024-01-01 03:55:00,TRF-03,Transformer,64.73,52.41,2.128,Normal
2024-01-01 04:00:00,TRF-04,Transformer,67.39,55.98,2.06,Normal
2024-01-01 04:05:00,TRF-05,Transformer,64.61,53.32,1.953,Normal
2024-01-01 04:10:00,TRF-01,Transformer,65.71,48.64,2.027,Normal
2024-01-01 04:15:00,TRF-02,Transformer,56.94,39.75,1.946,Normal
2024-01-01 04:20:00,TRF-03,Transformer,61.16,46.04,1.956,Normal
2024-01-01 04:25:00,TRF-04,Transformer,64.55,49.08,1.991,Normal
2024-01-01 04:30:00,TRF-05,Transformer,63.46,48.9,2.105,Normal
2024-01-01 04:35:00,TRF-01,Transformer,62.62,49.29,2.149,Normal
2024-01-01 04:40:00,TRF-02,Transformer,73.96,79.54,2.139,Normal
2024-01-01 04:45:00,TRF-03,Transformer,75.41,81.42,2.163,Normal
2024-01-01 04:50:00,TRF-04,Transformer,70.67,65.51,2.119,Normal
2024-01-01 04:55:00,TRF-05,Transformer,71.71,73.92,2.004,Normal
2024-01-01 05:00:00,TRF-01,Transformer,72.74,61.73,2.073,Normal
2024-01-01 05:05:00,TRF-02,Transformer,63.03,44.6,1.871,Normal
2024-01-01 05:10:00,TRF-03,Transformer,71.84,71.95,2.09,Normal
2024-01-01 05:15:00,TRF-04,Transformer,70.15,64.03,1.85,Normal
2024-01-01 05:20:00,TRF-05,Transformer,67.13,57.5,1.938,Normal
2024-01-01 05:25:00,TRF-01,Transformer,67.72,58.35,1.955,Normal
2024-01-01 05:30:00,TRF-02,Transformer,67.84,64.0,2.019,Normal
2024-01-01 05:35:00,TRF-03,Transformer,74.19,82.1,2.094,Normal
2024-01-01 05:40:00,TRF-04,Transformer,71.78,76.3,1.946,Normal
2024-01-01 05:45:00,TRF-05,Transformer,69.54,60.05,1.96,Normal
2024-01-01 05:50:00,TRF-01,Transformer,73.38,75.56,2.187,Normal
2024-01-01 05:55:00,TRF-02,Transformer,72.88,76.35,2.046,Normal
2024-01-01 06:00:00,TRF-03,Transformer,77.45,84.25,2.28,Normal
2024-01-01 06:05:00,TRF-04,Transformer,68.14,66.29,2.034,Normal
2024-01-01 06:10:00,TRF-05,Transformer,68.2,69.18,2.015,Normal
2024-01-01 06:15:00,TRF-01,Transformer,72.58,72.43,2.039,Normal
2024-01-01 06:20:00,TRF-02,Transformer,72.3,74.04,1.988,Normal
2024-01-01 06:25:00,TRF-03,Transformer,69.52,64.17,2.154,Normal
2024-01-01 06:30:00,TRF-04,Transformer,69.4,69.35,2.013,Normal
2024-01-01 06:35:00,TRF-05,Transformer,74.93,76.31,2.25,Normal
2024-01-01 06:40:00,TRF-01,Transformer,74.15,84.27,2.12,Normal
2024-01-01 06:45:00,TRF-02,Transformer,72.99,72.31,2.109,Normal
2024-01-01 06:50:00,TRF-03,Transformer,69.34,76.1,2.105,Normal
2024-01-01 06:55:00,TRF-04,Transformer,85.13,97.4,2.306,Warning
2024-01-01 07:00:00,TRF-05,Transformer,75.38,85.2,2.108,Normal
2024-01-01 07:05:00,TRF-01,Transformer,76.04,73.22,2.241,Normal
2024-01-01 07:10:00,TRF-02,Transformer,75.09,76.08,2.179,Normal
2024-01-01 07:15:00,TRF-03,Transformer,75.85,84.55,2.142,Normal
2024-01-01 07:20:00,TRF-04,Transformer,82.78,99.85,2.311,Warning
2024-01-01 07:25:00,TRF-05,Transformer,97.62,129.13,2.589,Critical
2024-01-01 07:30:00,TRF-01,Transformer,84.87,113.14,2.312,Warning
2024-01-01 07:35:00,TRF-02,Transformer,90.14,114.51,2.427,Warning
2024-01-01 07:40:00,TRF-03,Transformer,88.63,118.54,2.62,Critical
2024-01-01 07:45:00,TRF-04,Transformer,85.06,112.81,2.195,Warning
2024-01-01 07:50:00,TRF-05,Transformer,79.75,90.23,2.404,Warning
2024-01-01 07:55:00,TRF-01,Transformer,80.49,97.91,2.203,Warning
2024-01-01 08:00:00,TRF-02,Transformer,77.34,79.76,2.179,Normal
2024-01-01 08:05:00,TRF-03,Transformer,75.76,82.63,2.207,Normal
2024-01-01 08:10:00,TRF-04,Transformer,76.86,82.48,2.264,Normal
2024-01-01 08:15:00,TRF-05,Transformer,72.65,66.79,2.138,Normal
2024-01-01 08:20:00,TRF-01,Transformer,73.2,72.8,2.138,Normal
2024-01-01 08:25:00,TRF-02,Transformer,77.96,84.25,2.195,Normal
2024-01-01 08:30:00,TRF-03,Transformer,71.93,70.88,2.202,Normal
2024-01-01 08:35:00,TRF-04,Transformer,76.68,76.0,2.04,Normal
2024-01-01 08:40:00,TRF-05,Transformer,90.92,120.78,2.315,Critical
2024-01-01 08:45:00,TRF-01,Transformer,93.43,129.37,2.456,Critical
2024-01-01 08:50:00,TRF-02,Transformer,96.55,131.46,2.452,Critical
2024-01-01 08:55:00,TRF-03,Transformer,91.58,134.68,2.298,Critical
2024-01-01 09:00:00,TRF-04,Transformer,94.84,125.69,2.17,Critical
2024-01-01 09:05:00,TRF-05,Transformer,93.78,121.24,2.473,Critical
2024-01-01 09:10:00,TRF-01,Transformer,83.28,93.77,2.25,Warning
2024-01-01 09:15:00,TRF-02,Transformer,68.47,71.54,2.086,Normal
2024-01-01 09:20:00,TRF-03,Transformer,79.18,83.51,2.29,Normal
2024-01-01 09:25:00,TRF-04,Transformer,69.86,68.53,2.079,Normal
2024-01-01 09:30:00,TRF-05,Transformer,72.83,75.83,2.046,Normal
2024-01-01 09:35:00,TRF-01,Transformer,76.03,76.99,2.058,Normal
2024-01-01 09:40:00,TRF-02,Transformer,69.12,67.64,1.969,Normal
2024-01-01 09:45:00,TRF-03,Transformer,70.57,74.46,2.094,Normal
2024-01-01 09:50:00,TRF-04,Transformer,75.78,75.37,2.142,Normal
2024-01-01 09:55:00,TRF-05,Transformer,74.1,84.2,2.205,Normal
2024-01-01 10:00:00,TRF-01,Transformer,78.86,80.71,2.146,Normal
2024-01-01 10:05:00,TRF-02,Transformer,77.98,89.27,2.236,Normal
2024-01-01 10:10:00,TRF-03,Transformer,79.54,82.74,2.167,Normal
2024-01-01 10:15:00,TRF-04,Transformer,70.28,72.9,2.13,Normal
2024-01-01 10:20:00,TRF-05,Transformer,75.57,76.55,2.156,Normal
2024-01-01 10:25:00,TRF-01,Transformer,76.62,86.07,2.257,Normal
2024-01-01 10:30:00,TRF-02,Transformer,82.63,96.2,2.189,Warning
2024-01-01 10:35:00,TRF-03,Transformer,78.28,87.32,2.076,Normal
2024-01-01 10:40:00,TRF-04,Transformer,75.33,76.47,2.129,Normal
2024-01-01 10:45:00,TRF-05,Transformer,76.18,84.27,2.161,Normal
2024-01-01 10:50:00,TRF-01,Transformer,76.03,81.44,2.239,Normal
2024-01-01 10:55:00,TRF-02,Transformer,71.6,67.26,2.084,Normal
2024-01-01 11:00:00,TRF-03,Transformer,65.81,51.52,2.044,Normal
2024-01-01 11:05:00,TRF-04,Transformer,57.63,34.86,1.99,Normal
2024-01-01 11:10:00,TRF-05,Transformer,59.32,38.27,2.04,Normal
2024-01-01 11:15:00,TRF-01,Transformer,53.1,22.6,1.969,Normal
2024-01-01 11:20:00,TRF-02,Transformer,57.4,25.54,2.075,Normal
2024-01-01 11:25:00,TRF-03,Transformer,56.7,33.67,2.046,Normal
2024-01-01 11:30:00,TRF-04,Transformer,55.96,28.4,2.031,Normal
2024-01-01 11:35:00,TRF-05,Transformer,55.12,26.13,2.095,Normal
2024-01-01 11:40:00,TRF-01,Transformer,59.42,36.61,1.995,Normal
2024-01-01 11:45:00,TRF-02,Transformer,55.32,23.45,2.019,Normal
2024-01-01 11:50:00,TRF-03,Transformer,46.2,2.78,2.025,Normal
2024-01-01 11:55:00,TRF-04,Transformer,50.3,14.25,2.001,Normal
2024-01-01 12:00:00,TRF-05,Transformer,48.19,10.27,1.94,Normal
2024-01-01 12:05:00,TRF-01,Transformer,46.9,8.16,1.889,Normal
2024-01-01 12:10:00,TRF-02,Transformer,52.31,22.34,1.986,Normal
2024-01-01 12:15:00,TRF-03,Transformer,51.54,16.86,1.978,Normal
